protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
DDX42,DDX42,11695000,10654000,10491000,10727000,7248500,11591000,11410000,2919100,1308900,5817200,2517500,4601100,2841800,49563,15143000,2735400,8768000,40414000,4436500,9515300,11438000,17909000
AOXA,AOX1,1140900,1127000,368240,834180,3131500,525980,249660,968060,2031600,584730,397970,799520,743270,NA,970180,227930,1480200,3421100,418630,721700,951780,3542900
P3H3,P3H3,4551600,12837000,3902400,10829000,10248000,20494000,6233900,9601700,10641000,9976800,4195300,6134300,7372300,9306200,2240500,6043900,24460000,28520000,3467900,9697600,2503900,6366000
VINC,VCL,214410000,231680000,192180000,211380000,243640000,228440000,208410000,234600000,212480000,187480000,88994000,109410000,121450000,82308000,337200000,76566000,468100000,263010000,263610000,220270000,243950000,261440000
TOR1A,TOR1A,251410,953380,1228700,813480,1790100,869150,1368400,1835300,1648400,850490,258600,894330,744450,583460,827930,242320,1584700,1755500,998990,909880,802970,1920600
BI2L1,BAIAP2L1,6670100,10624000,1403600,763730,4622600,2628800,4486800,301110,1702300,1685500,769540,457010,420110,222520,NA,834200,1910600,17716000,193030,2925700,1471800,4580300
CSN2,COPS2,12822000,16929000,17304000,16052000,18061000,19681000,32349000,11656000,17500000,18420000,7296200,7648600,12793000,3635900,19857000,8315900,25281000,28122000,19696000,18274000,13926000,40280000
UBQL1,UBQLN1,9733400,23608000,13953000,9288200,24419000,12591000,18600000,18912000,19997000,4898300,5388000,9327400,20360000,20680000,11660000,7770900,17337000,21175000,40519000,21437000,14496000,26221000
HNRPC,HNRNPC,2444400,22971000,546040,5000900,3011300,3389800,10255000,1036200,13467000,8654300,826580,1291000,1280000,273850,1380800,441700,5515800,4205700,585800,2020400,2902700,12122000
PI42B,PIP4K2B,1004200,3988600,832560,2308400,3993100,2450300,2072400,2001700,2458300,899110,489480,593740,1183800,630370,1216100,1047600,2417100,2313300,3097200,1210700,1683600,2761600
PRRC1,PRRC1,18578000,13374000,13730000,7288400,15649000,17055000,15738000,15513000,20704000,13713000,7883000,14055000,10152000,5631100,18154000,8875600,21862000,19390000,9089300,13850000,19600000,32155000
RAC2,RAC2,36696000,27311000,62724000,32899000,31935000,69090000,37257000,43087000,57333000,62411000,12621000,31629000,21432000,13063000,53538000,36505000,69229000,63797000,65576000,55671000,93380000,156740000
CP20A,CYP20A1,2577900,1417800,3567100,2286600,5731600,2697400,5944300,2876100,3069200,2268900,1959900,2682200,582820,864160,1547900,1869500,8396600,5968400,1117600,1521800,1487400,6945300
TAOK3,TAOK3,2134000,315470,1620400,3496600,2515700,444470,1984900,2617600,2991100,1130800,244730,485450,313370,513710,614490,769320,2507400,1252900,2020800,2201100,754440,1482200
ICAM2,ICAM2,2114500,197980,678880,2029500,1800700,3925700,1998800,1664500,1421200,1352400,346650,696050,562040,1535000,918950,385300,1211600,674050,857680,904490,961460,4070000
DOK2,DOK2,2734600,390280,3492400,4685500,4036200,5727000,579410,3611300,1109400,3352500,256440,3762300,2563100,3090900,276700,1478600,1535100,1654900,3586100,1242200,1171700,3394200
SLFN5,SLFN5,8464200,5077900,6427500,2116900,14011000,10975000,3328600,3924400,2107900,6334200,1070600,2407500,6167600,727680,11294000,2758900,4304200,10964000,6903600,5501400,12215000,27140000
