protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
FCG3A,FCGR3A,528560,771150,1409900,474390,2580700,1732900,2551700,1826700,4367300,2426300,231410,4124300,2152400,3810500,780790,3088000,1703900,2613800
KISHA,TMEM167A,1851400,658080,5111800,2631500,6741200,1979400,743060,1147900,788850,2206800,568280,635930,3906600,4477800,884270,7988300,4595400,3222900
GIMA5,GIMAP5,6672100,17594000,11994000,7808500,4866200,5625600,12169000,15459000,11582000,2109800,1424200,28054000,2057100,14459000,18399000,8998700,8742600,6762800
MYADM,MYADM,10749000,4907200,25457000,5818400,33884000,22869000,23628000,31276000,28630000,10952000,3127500,47250000,33643000,21512000,2482400,29604000,29533000,14790000
UBL3,UBL3,645780,412930,1195900,1094500,870390,2363700,1106500,1983800,2615800,1543500,1930400,2951800,1078200,1324100,1211000,2116800,2136200,1892200
HEM6,CPOX,2406000,1035300,4403600,1908000,57706000,4297300,14444000,9088000,11713000,1580700,6067700,6044800,5675000,9908900,593170,13540000,6434000,66938000
CC115,CCDC115,6573000,5455800,26532000,11039000,25762000,30580000,16916000,14861000,38794000,8434000,5025800,23343000,16357000,771900,8192500,25304000,27820000,20145000
RM50,MRPL50,1381600,217110,2591000,904640,4939100,7768200,1520700,3642000,5751000,1630900,311250,1644000,3929500,4157800,296640,1532900,4694000,3774100
CASP4,CASP4,1426900,1599300,2130200,1136400,4069600,2359400,3077000,4555800,4785100,889620,279810,4179300,2027700,2439700,988520,2729700,4778000,1774100
FAH2A,FAHD2A,1129100,668170,2149400,660520,1670100,1530900,2039800,2521000,2567300,386800,44521,3050300,1523200,2003300,1241700,1914500,1234700,141140
NPS3A,NIPSNAP3A,11008000,7020800,46550000,6029200,12422000,17429000,19914000,20006000,47381000,9156500,24938000,32893000,11413000,19819000,5585300,33607000,24566000,20615000
SEP10,SEPTIN10,16079000,2192600,20158000,5555700,28738000,24433000,62078000,23422000,25088000,23316000,11194000,21335000,30919000,20405000,5094200,18386000,45102000,26290000
WDR26,WDR26,2080000,854110,3348400,743280,13128000,3303500,1966600,1929800,2246400,5315600,1616000,1819700,3137100,3504800,2965300,3400600,4042800,4631200
STX11,STX11,548750,364220,448720,126080,758720,429830,1710900,1159300,2739700,1341200,199900,1516100,938790,2126600,318950,1451500,1796400,1001500
LAP2A,TMPO,2840000,NA,281960,1208100,1657500,2478000,4072700,1230500,1261400,949470,576950,3442000,3503200,3427100,2882800,166970,2858800,1564300
TXNL1,TXNL1,19821000,11598000,27521000,24427000,71930000,30284000,32492000,34454000,37236000,25962000,8048700,49223000,41416000,36170000,15794000,33067000,48193000,24027000
SPRC,SPARC,1289300,2667100,8458100,3924900,7972700,3773200,3683900,13304000,5321600,4369700,1542200,6077100,7662000,9006400,3043100,4819600,10616000,4624100
TSN13,TSPAN13,2591700,NA,1687300,782680,1793400,395500,1983900,2406100,2983200,551350,1152900,1517700,3791900,5504000,1451600,1798000,1677700,992310
PSD10,PSMD10,18612000,10587000,18712000,18666000,72544000,14320000,40573000,49407000,47819000,22980000,14588000,39595000,29057000,55741000,21467000,49621000,54457000,33987000
DNM1L,DNM1L,8374700,7970500,18106000,7611500,14673000,10169000,11104000,16373000,20723000,11182000,8109500,14710000,15484000,13447000,5983700,17340000,16888000,15019000
BAP31,BCAP31,14611000,10959000,26218000,14091000,56784000,21096000,39703000,41384000,14347000,11125000,4574700,17917000,18493000,66274000,13487000,45215000,55438000,13014000
LAIR1,LAIR1,2517700,742780,1936600,630440,2323500,2341500,2465700,1810500,2282900,2507800,1719900,1036200,2613300,4456000,1859800,3016800,2318700,2218700
CSN7A,COPS7A,2398300,769420,3417300,2501600,3069500,3583200,3306400,7604300,7023800,2710900,950180,3786300,3704900,3789100,1137300,3372000,4293900,3276000
RAB8B,RAB8B,6416800,7405100,13536000,5366400,7024100,12998000,11060000,4241500,10422000,1467400,65422,16966000,7070700,7690400,461800,16767000,8439500,3170700
NUBPL,NUBPL,847500,396540,2397300,479240,1592300,1520500,1042900,1433400,5519200,1171300,317050,1886900,1482500,2586000,495380,1274700,2122100,872010
EGLN,ENG,8032200,4471000,15823000,5527100,16820000,16024000,13544000,22007000,17069000,8079800,2977000,41354000,7260300,16408000,2945800,24125000,10045000,3118500
NAGAB,NAGA,5270000,2339400,14391000,5559900,17853000,8267200,15193000,12719000,15699000,3594000,1308200,10813000,15087000,21497000,5953000,22589000,7703200,6358300
TRPV2,TRPV2,3096100,2665500,7840600,4896300,4450200,6762600,6381100,4543000,6135800,8124300,5895700,5333400,4881600,2474300,7080900,6254700,1751000,1213000
WDR18,WDR18,2882100,NA,8805900,2285400,6613000,5821800,3132900,3443900,285560,129960,477000,5407300,2839300,7794800,809230,1585400,7010000,4217800
MGST2,MGST2,15797000,7323400,20421000,11675000,32599000,19900000,27532000,28974000,34180000,10512000,5404500,22116000,13344000,32002000,8068600,35466000,23371000,15589000
CD151,CD151,857490,730310,843450,311710,3053200,878600,962100,1207000,1647600,1755900,265250,2656100,1138900,546580,NA,3138900,2372700,1109800
FHR2,CFHR2,113340,3719000,2166900,1168000,1330800,3984500,2405900,5137700,1382900,2629300,1756100,2188600,4316900,3763300,2217100,2589100,6484300,77701
TM192,TMEM192,2068400,1665400,2878700,3727800,4546200,1460200,3350800,2262000,4188600,1983100,966130,4012500,2141000,2514300,1214400,7166500,915840,461280
BTK,BTK,681660,430510,877890,795980,4038700,2559200,2052300,3155000,3181700,1120100,391860,1140800,1136400,5855100,1185300,3489400,2791400,1443100
ADSSP,ADISSP,1554200,3762600,4633900,2514000,9844900,3653200,3727400,4882100,6913500,2010000,1468700,6628800,6670000,4402900,2114600,4131300,4496900,3279600
LACB2,LACTB2,5551300,1699400,14098000,5847300,7987600,4065800,9988600,12127000,19984000,3474700,1278400,23117000,5243200,10055000,2374500,13309000,10435000,13851000
AN18B,ANKRD18B,7814900,9787200,32994000,13753000,6800400,22824000,27312000,28323000,59851000,10602000,4282000,58418000,22344000,27501000,21991000,39223000,38300000,31954000
CO1A1,COL1A1,12804000,27450000,19093000,13055000,43661000,38706000,18500000,81137000,50037000,33975000,18295000,21642000,56480000,39954000,33219000,52519000,26298000,28535000
SMG9,SMG9,4375800,184540,7231400,4270000,3051600,750950,2427400,1145200,3231700,1148000,783920,2431900,4613200,558840,NA,3783200,5429900,3284300
CF120,C6orf120,1398900,445200,3060000,372220,3102900,1132300,2474400,1780800,4418000,1144600,624630,2718800,1774900,1990800,566960,2249700,2287900,2004000
THIO,TXN,61342000,36842000,96479000,20252000,106410000,72402000,94331000,118440000,143690000,37281000,17864000,57035000,72024000,257150000,52047000,74849000,144790000,52102000
EXOS3,EXOSC3,2744500,5767200,3850000,888410,10979000,8037700,4835400,4186400,8966100,2891100,5345300,4200900,20000000,2795200,1609000,3165600,1847500,7426200
P5I11,TP53I11,3478600,1817900,4826500,1994900,2580700,4531200,2887400,5094600,4367300,2426300,231410,3355800,4255900,3810500,780790,4343500,4966100,2613800
QCR10,UQCR11,3020700,2696700,8379300,3670400,4391700,4448300,4000000,4787600,13826000,2776300,1179200,3610900,3365100,4117400,10519000,7390500,4430300,3955500
CAYP1,CAPS,95225000,32322000,5682100,64632000,18679000,25375000,180460000,207990000,12004000,80362000,32347000,75378000,10491000,113850000,47339000,192580000,12634000,114130000
